0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
6,15,8,5,7,1,3,8,0,2,1575668.154,16.84,0.03125
16,0,10,12,17,0,3,1,8,2,1575668.154,16.84,0.03125
2,15,0,12,4,9,15,1,17,20,1575668.154,16.84,0.03125
8,15,18,3,17,9,15,1,17,20,1575668.154,16.84,0.03125
18,17,19,9,6,9,14,20,3,1,1575668.154,16.84,0.03125
8,18,6,12,7,3,15,20,9,4,1575668.154,16.84,0.03125
16,7,18,13,15,0,13,1,3,4,1575668.154,16.84,0.03125
10,4,14,18,2,0,3,13,4,9,1575668.154,16.84,0.03125
2,10,14,19,15,0,1,5,2,3,1575668.154,16.84,0.03125
8,3,18,16,5,8,17,1,3,19,1575668.154,16.84,0.03125
14,13,5,8,2,0,3,4,8,2,1575668.154,16.84,0.03125
3,7,9,15,4,3,4,20,7,6,1575668.154,16.84,0.03125
7,3,2,13,14,3,15,20,9,5,1575668.154,16.84,0.03125
18,4,12,16,0,1,17,2,0,3,1575668.154,16.84,0.03125
3,15,9,0,6,3,14,19,7,6,1575668.154,16.84,0.03125
5,12,2,13,8,0,2,20,3,6,1575668.154,16.84,0.03125
16,2,5,17,7,3,4,13,7,1,1575668.154,16.84,0.03125
1,18,7,12,16,0,13,8,3,17,1575668.154,16.84,0.03125
14,16,1,10,18,0,1,5,2,3,1575668.154,16.84,0.03125
1,3,8,14,17,0,14,20,9,2,1575668.154,16.84,0.03125
7,16,18,10,6,0,9,18,20,2,1575668.154,16.84,0.03125
6,4,18,14,1,3,15,20,9,4,1575668.154,16.84,0.03125
8,3,17,16,13,0,1,3,7,2,1575668.154,16.84,0.03125
7,18,19,10,0,0,17,13,3,9,1575668.154,16.84,0.03125
11,4,12,2,19,9,14,20,4,1,1575668.154,16.84,0.03125
18,9,2,15,10,0,9,19,17,1,1575668.154,16.84,0.03125
9,12,10,5,6,3,14,20,9,6,1575668.154,16.84,0.03125
19,5,0,9,15,0,4,14,19,1,1575668.154,16.84,0.03125
4,12,2,8,1,0,2,1,6,3,1575668.154,16.84,0.03125
3,18,19,8,9,0,2,13,3,7,1575668.154,16.84,0.03125
10,12,9,4,1,0,1,2,3,4,1575668.154,16.84,0.03125
14,5,16,17,11,0,4,8,3,13,1575668.154,16.84,0.03125
4,17,15,18,11,0,6,1,8,2,1575668.154,16.84,0.03125
10,12,9,11,4,0,8,13,6,3,1575668.154,16.84,0.03125
12,19,7,18,13,0,1,2,3,4,1575668.154,16.84,0.03125
6,5,0,13,15,0,4,8,3,13,1575668.154,16.84,0.03125
3,12,6,9,15,0,2,8,5,3,1575668.154,16.84,0.03125
4,3,11,2,6,8,17,1,0,20,1575668.154,16.84,0.03125
19,5,7,11,14,0,3,8,5,13,1575668.154,16.84,0.03125
18,10,6,14,7,9,4,20,15,1,1575668.154,16.84,0.03125
19,10,11,3,6,0,3,8,5,13,1575668.154,16.84,0.03125
0,1,12,6,16,0,2,8,6,3,1575668.154,16.84,0.03125
5,7,15,11,6,0,1,13,3,5,1575668.154,16.84,0.03125
7,18,19,15,0,0,2,20,6,3,1575668.154,16.84,0.03125
9,4,18,5,11,3,15,20,9,5,1575668.154,16.84,0.03125
15,1,6,12,8,0,2,8,3,13,1575668.154,16.84,0.03125
3,2,12,10,6,9,4,20,15,1,1575668.154,16.84,0.03125
8,7,9,12,4,0,3,13,4,9,1575668.154,16.84,0.03125
17,11,5,4,0,3,9,14,19,6,1575668.154,16.84,0.03125
6,0,13,11,15,0,17,8,2,3,1575668.154,16.84,0.03125
17,9,4,5,1,9,14,20,4,1,1575668.154,16.84,0.03125
18,15,1,17,8,0,3,13,4,2,1575668.154,16.84,0.03125
0,17,1,2,10,0,13,2,3,8,1575668.154,16.84,0.03125
3,4,14,10,5,13,17,1,9,3,1575668.154,16.84,0.03125
13,9,0,12,7,0,2,8,5,3,1575668.154,16.84,0.03125
6,9,10,3,15,9,14,20,3,1,1575668.154,16.84,0.03125
7,19,15,10,14,0,14,20,1,9,1575668.154,16.84,0.03125
1,8,12,15,13,0,17,1,19,3,1575668.154,16.84,0.03125
13,11,8,6,1,0,1,13,3,7,1575668.154,16.84,0.03125
10,13,5,1,11,0,14,20,9,2,1575668.154,16.84,0.03125
15,7,6,4,1,1,3,8,0,19,1575668.154,16.84,0.03125
10,11,5,13,8,0,17,1,19,3,1575668.154,16.84,0.03125
14,17,4,18,0,0,3,19,7,1,1575668.154,16.84,0.03125
7,11,10,12,4,0,2,19,6,3,1575668.154,16.84,0.03125
