0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time,avg_cpu_util,core_load
18,7,12,14,4,20,0,1,19,18,6618.276311,20.6,0.125
11,19,9,1,12,20,0,1,19,18,6618.276311,20.6,0.125
8,5,19,2,4,20,19,18,0,17,6618.276311,20.6,0.125
19,4,14,8,12,20,0,1,19,18,6618.276311,20.6,0.125
13,9,18,15,7,20,0,19,18,1,6618.276311,20.6,0.125
18,7,3,10,2,20,0,1,19,2,6618.276311,20.6,0.125
1,18,7,17,3,20,19,18,0,17,6618.276311,20.6,0.125
18,15,7,0,4,20,19,0,1,18,6618.276311,20.6,0.125
12,13,11,5,14,20,0,1,19,18,6618.276311,20.6,0.125
6,12,17,8,15,20,0,1,2,3,6618.276311,20.6,0.125
6,12,19,9,5,0,20,1,2,19,6618.276311,20.6,0.125
10,9,2,3,15,0,20,1,2,3,6618.276311,20.6,0.125
1,19,4,18,0,20,0,1,19,18,6618.276311,20.6,0.125
0,7,4,6,1,20,19,0,1,18,6618.276311,20.6,0.125
2,5,8,18,0,0,20,1,2,19,6618.276311,20.6,0.125
10,12,17,13,16,20,0,1,19,2,6618.276311,20.6,0.125
4,12,17,7,8,20,0,1,19,2,6618.276311,20.6,0.125
4,15,8,7,19,20,19,0,1,18,6618.276311,20.6,0.125
19,7,14,13,5,20,0,1,19,18,6618.276311,20.6,0.125
6,3,12,8,17,20,0,1,19,18,6618.276311,20.6,0.125
3,6,17,5,7,0,20,1,2,3,6618.276311,20.6,0.125
9,0,13,14,7,20,0,1,2,19,6618.276311,20.6,0.125
14,19,4,18,17,0,20,19,1,18,6618.276311,20.6,0.125
11,5,7,10,8,20,0,1,19,2,6618.276311,20.6,0.125
8,1,7,2,14,0,20,19,1,18,6618.276311,20.6,0.125
14,17,11,1,7,0,20,19,1,2,6618.276311,20.6,0.125
13,7,12,3,8,20,0,19,18,17,6618.276311,20.6,0.125
12,9,7,14,2,20,0,1,19,18,6618.276311,20.6,0.125
16,9,5,7,13,20,19,0,1,18,6618.276311,20.6,0.125
4,13,6,11,18,20,0,1,2,3,6618.276311,20.6,0.125
11,13,5,19,14,20,19,0,18,17,6618.276311,20.6,0.125
14,9,16,2,13,0,20,1,2,19,6618.276311,20.6,0.125
7,5,0,11,4,20,0,1,19,2,6618.276311,20.6,0.125
14,15,8,5,18,20,0,19,1,2,6618.276311,20.6,0.125
7,6,1,5,9,20,0,1,19,18,6618.276311,20.6,0.125
2,6,18,14,12,0,20,1,2,3,6618.276311,20.6,0.125
3,13,17,8,11,20,0,1,19,2,6618.276311,20.6,0.125
2,9,17,10,15,0,1,20,19,2,6618.276311,20.6,0.125
7,15,16,14,19,20,0,1,19,18,6618.276311,20.6,0.125
15,7,14,1,17,20,0,1,19,2,6618.276311,20.6,0.125
13,11,5,4,9,20,19,0,1,18,6618.276311,20.6,0.125
9,12,11,14,3,20,0,1,2,3,6618.276311,20.6,0.125
15,5,11,9,1,20,19,18,17,16,6618.276311,20.6,0.125
2,4,0,17,1,20,19,18,0,17,6618.276311,20.6,0.125
13,10,12,11,15,0,20,1,19,2,6618.276311,20.6,0.125
2,15,19,1,4,0,20,1,2,19,6618.276311,20.6,0.125
14,18,2,15,5,0,20,19,1,2,6618.276311,20.6,0.125
12,1,3,16,10,20,0,1,19,18,6618.276311,20.6,0.125
11,3,2,10,13,0,20,19,1,18,6618.276311,20.6,0.125
8,7,9,6,13,20,19,0,1,18,6618.276311,20.6,0.125
17,19,1,7,10,20,19,0,1,18,6618.276311,20.6,0.125
