0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
15,10,1,14,7,20,0,1,19,18,43704.78933,17.62,0.0625
13,1,14,10,4,0,1,20,2,3,43704.78933,17.62,0.0625
18,19,7,9,11,0,20,1,2,19,43704.78933,17.62,0.0625
8,14,18,13,9,0,20,1,2,3,43704.78933,17.62,0.0625
9,17,18,8,3,20,0,19,18,1,43704.78933,17.62,0.0625
6,10,8,7,9,20,0,1,19,18,43704.78933,17.62,0.0625
19,5,1,18,8,0,20,19,1,2,43704.78933,17.62,0.0625
15,13,11,9,7,20,0,1,19,18,43704.78933,17.62,0.0625
19,1,13,6,10,20,0,19,18,17,43704.78933,17.62,0.0625
9,0,10,13,18,0,1,20,19,2,43704.78933,17.62,0.0625
4,7,1,6,0,0,20,19,1,2,43704.78933,17.62,0.0625
17,6,13,1,3,0,1,2,3,20,43704.78933,17.62,0.0625
7,5,3,8,19,0,1,20,19,18,43704.78933,17.62,0.0625
6,1,2,5,13,20,19,0,18,17,43704.78933,17.62,0.0625
10,11,7,19,6,20,0,19,1,18,43704.78933,17.62,0.0625
7,19,1,4,14,0,20,1,2,19,43704.78933,17.62,0.0625
1,11,13,8,10,0,1,20,19,18,43704.78933,17.62,0.0625
9,1,18,13,11,20,0,1,19,2,43704.78933,17.62,0.0625
17,10,8,1,4,20,19,18,17,16,43704.78933,17.62,0.0625
0,8,10,19,11,20,19,0,18,17,43704.78933,17.62,0.0625
19,2,3,11,4,0,1,20,2,19,43704.78933,17.62,0.0625
7,14,17,13,16,0,20,19,1,2,43704.78933,17.62,0.0625
5,10,4,0,12,0,20,1,2,3,43704.78933,17.62,0.0625
6,19,5,18,4,0,1,2,3,4,43704.78933,17.62,0.0625
9,17,2,3,14,20,19,0,18,17,43704.78933,17.62,0.0625
5,15,6,19,16,20,0,19,18,17,43704.78933,17.62,0.0625
15,4,11,5,13,0,1,2,3,4,43704.78933,17.62,0.0625
10,5,18,19,17,0,1,20,2,19,43704.78933,17.62,0.0625
17,16,9,1,18,20,19,0,18,1,43704.78933,17.62,0.0625
9,8,1,5,15,20,19,18,0,1,43704.78933,17.62,0.0625
11,13,10,3,17,20,19,18,17,16,43704.78933,17.62,0.0625
