0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
4,9,18,19,1,20,3,6,7,4,1623746.343,16.98,0.03125
1,10,16,18,3,0,1,9,13,17,1623746.343,16.98,0.03125
18,7,12,3,4,0,7,1,3,19,1623746.343,16.98,0.03125
8,4,3,13,18,0,3,1,19,8,1623746.343,16.98,0.03125
0,6,7,11,4,0,9,1,20,17,1623746.343,16.98,0.03125
10,3,9,15,13,0,7,2,6,19,1623746.343,16.98,0.03125
13,15,7,11,16,14,8,3,20,0,1623746.343,16.98,0.03125
12,15,10,13,16,0,14,2,20,9,1623746.343,16.98,0.03125
1,18,10,6,19,0,3,5,13,8,1623746.343,16.98,0.03125
8,17,7,11,15,0,1,8,19,17,1623746.343,16.98,0.03125
0,16,2,12,10,0,13,2,4,8,1623746.343,16.98,0.03125
1,2,0,17,10,0,3,2,4,8,1623746.343,16.98,0.03125
14,6,7,13,16,0,7,2,6,20,1623746.343,16.98,0.03125
2,1,16,14,3,0,7,2,3,19,1623746.343,16.98,0.03125
8,1,14,10,7,0,3,9,20,18,1623746.343,16.98,0.03125
18,12,2,0,13,0,6,1,2,8,1623746.343,16.98,0.03125
0,18,5,15,3,0,14,17,20,8,1623746.343,16.98,0.03125
18,9,11,16,0,0,3,9,19,17,1623746.343,16.98,0.03125
6,17,5,14,18,0,1,2,3,4,1623746.343,16.98,0.03125
0,14,18,19,15,0,13,2,3,8,1623746.343,16.98,0.03125
14,16,2,5,3,0,3,4,13,9,1623746.343,16.98,0.03125
4,18,15,3,9,15,9,3,20,4,1623746.343,16.98,0.03125
1,15,2,12,9,19,3,6,7,4,1623746.343,16.98,0.03125
5,19,14,9,12,14,6,7,20,3,1623746.343,16.98,0.03125
19,10,12,18,9,0,1,2,3,4,1623746.343,16.98,0.03125
6,2,15,17,13,0,3,9,13,17,1623746.343,16.98,0.03125
13,19,8,17,2,0,1,2,3,7,1623746.343,16.98,0.03125
14,12,5,10,7,0,7,2,3,19,1623746.343,16.98,0.03125
11,5,0,16,4,0,3,1,19,8,1623746.343,16.98,0.03125
14,1,11,9,8,0,6,3,13,8,1623746.343,16.98,0.03125
13,14,18,0,6,0,13,3,4,8,1623746.343,16.98,0.03125
15,11,14,8,7,0,1,2,3,8,1623746.343,16.98,0.03125
12,16,1,6,5,14,9,3,20,0,1623746.343,16.98,0.03125
5,0,17,15,19,0,6,7,20,3,1623746.343,16.98,0.03125
14,18,16,0,1,15,9,3,20,4,1623746.343,16.98,0.03125
